-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2024 through 05/31/2024 
Location: Latitude  -10.8225   Longitude -42.7374 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 526.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,T2M,PRECTOTCORR
2024,122,26.65,1.12
2024,123,26.65,0.01
2024,124,26.66,0.16
2024,125,26.48,0.03
2024,126,26.02,0.3
2024,127,26.21,1.18
2024,128,25.29,0.07
2024,129,26.65,0.07
2024,130,25.85,0.01
2024,131,24.77,0.01
2024,132,26.75,0.05
2024,133,27.36,0.12
2024,134,27.97,0.05
2024,135,28.26,0.11
2024,136,27.91,0.01
2024,137,25.91,0.01
2024,138,25.92,0.01
2024,139,26.81,0.01
2024,140,26.78,0.17
2024,141,26.25,0.01
2024,142,26.76,0.21
2024,143,26.4,0.23
2024,144,25.23,0.01
2024,145,24.69,0.0
2024,146,25.96,0.04
2024,147,26.04,0.23
2024,148,24.47,0.0
2024,149,24.9,0.0
2024,150,25.67,0.0
2024,151,26.69,0.0
2024,152,26.21,0.01
