-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2024 through 05/31/2024 
Location: Latitude  -10.8225   Longitude -42.7374 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 526.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M     MERRA-2 Temperature at 2 Meters (C) 
-END HEADER-
YEAR,DOY,T2M
2024,122,26.65
2024,123,26.65
2024,124,26.66
2024,125,26.48
2024,126,26.02
2024,127,26.21
2024,128,25.29
2024,129,26.65
2024,130,25.85
2024,131,24.77
2024,132,26.75
2024,133,27.36
2024,134,27.97
2024,135,28.26
2024,136,27.91
2024,137,25.91
2024,138,25.92
2024,139,26.81
2024,140,26.78
2024,141,26.25
2024,142,26.76
2024,143,26.4
2024,144,25.23
2024,145,24.69
2024,146,25.96
2024,147,26.04
2024,148,24.47
2024,149,24.9
2024,150,25.67
2024,151,26.69
2024,152,26.21
