-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 05/01/2024 through 05/31/2024 
Location: Latitude  -10.8225   Longitude -42.7374 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 526.31 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,DOY,PRECTOTCORR
2024,122,1.12
2024,123,0.01
2024,124,0.16
2024,125,0.03
2024,126,0.3
2024,127,1.18
2024,128,0.07
2024,129,0.07
2024,130,0.01
2024,131,0.01
2024,132,0.05
2024,133,0.12
2024,134,0.05
2024,135,0.11
2024,136,0.01
2024,137,0.01
2024,138,0.01
2024,139,0.01
2024,140,0.17
2024,141,0.01
2024,142,0.21
2024,143,0.23
2024,144,0.01
2024,145,0.0
2024,146,0.04
2024,147,0.23
2024,148,0.0
2024,149,0.0
2024,150,0.0
2024,151,0.0
2024,152,0.01
